goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/4KB-8          	  787095	      1505 ns/op	2721.33 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  813783	      1545 ns/op	2651.92 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  807020	      1509 ns/op	2714.75 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  792184	      1500 ns/op	2730.24 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  798276	      1507 ns/op	2718.81 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  808606	      1505 ns/op	2721.00 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  436080	      2778 ns/op	2948.72 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  436246	      2805 ns/op	2920.33 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  447159	      2755 ns/op	2973.01 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  421052	      3077 ns/op	2662.75 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  427639	      2807 ns/op	2918.82 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  431360	      2857 ns/op	2867.67 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  413269	      2773 ns/op	2953.69 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  438580	      2775 ns/op	2952.47 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  442701	      2787 ns/op	2939.52 MB/s	   18967 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  430492	      2951 ns/op	2776.15 MB/s	   18967 B/op	       3 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	166.537s
