goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/1.1KB-8        	  541582	      2251 ns/op	 533.17 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  556029	      2195 ns/op	 546.74 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  585727	      2151 ns/op	 557.88 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  547128	      2145 ns/op	 559.49 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  575270	      2148 ns/op	 558.77 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  555344	      2124 ns/op	 565.08 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  566098	      2156 ns/op	 556.54 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  544190	      2168 ns/op	 553.44 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  451143	      2671 ns/op	 561.64 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  460424	      2618 ns/op	 572.89 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  492950	      2517 ns/op	 595.83 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  488860	      2551 ns/op	 588.06 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  489255	      2512 ns/op	 597.15 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  483590	      2508 ns/op	 598.15 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  493218	      2475 ns/op	 606.03 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  490766	      2487 ns/op	 603.04 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  487958	      2582 ns/op	 581.03 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  491637	      2645 ns/op	 567.08 MB/s	    3920 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  183408	      7331 ns/op	 558.76 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  153932	      6668 ns/op	 614.31 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  194128	      6317 ns/op	 648.43 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  193560	      6371 ns/op	 642.94 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  191203	      6338 ns/op	 646.22 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  192572	      6388 ns/op	 641.19 MB/s	   10320 B/op	       8 allocs/op
