goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  650211	      1707 ns/op	 599.90 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  710143	      1682 ns/op	 608.74 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  720435	      1764 ns/op	 580.62 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  556329	      2278 ns/op	 449.49 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  639360	      2059 ns/op	 582.82 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  630976	      2003 ns/op	 599.14 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  617937	      2115 ns/op	 567.37 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  594730	      1804 ns/op	 665.34 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  670448	      1788 ns/op	 671.31 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  607987	      1811 ns/op	 662.47 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  686228	      2029 ns/op	 591.43 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  621348	      1798 ns/op	 667.34 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  662485	      1883 ns/op	 637.32 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  658903	      1866 ns/op	 643.14 MB/s	    2576 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  404425	      2873 ns/op	 522.10 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  519762	      2336 ns/op	 642.10 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  522429	      2345 ns/op	 639.59 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  505617	      3110 ns/op	 482.28 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  522565	      2316 ns/op	 647.62 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  526306	      2742 ns/op	 547.15 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  526902	      2335 ns/op	 642.50 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  527611	      2328 ns/op	 644.42 MB/s	    3089 B/op	       3 allocs/op
