goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  670095	      1850 ns/op	 648.74 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  661507	      1862 ns/op	 644.49 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  665350	      1849 ns/op	 649.11 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  670194	      1844 ns/op	 650.72 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  649557	      1894 ns/op	 633.42 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  660079	      1841 ns/op	 651.91 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  625671	      1971 ns/op	 608.94 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  594453	      2077 ns/op	 577.64 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  623355	      1846 ns/op	 650.04 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  666123	      1846 ns/op	 650.03 MB/s	    2593 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  460452	      2394 ns/op	 626.44 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  511902	      2396 ns/op	 625.94 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  486934	      2384 ns/op	 629.10 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  501607	      2381 ns/op	 629.89 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  509904	      2379 ns/op	 630.51 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  502832	      2387 ns/op	 628.40 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  507976	      2407 ns/op	 623.13 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  508934	      2368 ns/op	 633.47 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  512145	      2379 ns/op	 630.42 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  509024	      2374 ns/op	 631.88 MB/s	    3105 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  202957	      5791 ns/op	 707.30 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  207908	      5733 ns/op	 714.48 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  209229	      5750 ns/op	 712.38 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  212239	      5754 ns/op	 711.87 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  208033	      5750 ns/op	 712.33 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  211393	      5734 ns/op	 714.36 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  212240	      5754 ns/op	 711.90 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  207916	      5737 ns/op	 713.92 MB/s	    9765 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  208765	      5788 ns/op	 707.67 MB/s	    9766 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  208004	      5762 ns/op	 710.89 MB/s	    9765 B/op	       4 allocs/op
