goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCBCEncrypt/1.1KB-8        	  401444	      3103 ns/op	 386.76 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  402432	      3025 ns/op	 396.74 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  385206	      2993 ns/op	 400.99 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  405034	      3019 ns/op	 397.46 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  401809	      3039 ns/op	 394.81 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  338197	      3632 ns/op	 413.02 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  334599	      3714 ns/op	 403.92 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  312564	      4066 ns/op	 368.90 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  305882	      3659 ns/op	 409.94 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  321255	      3634 ns/op	 412.75 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  343683	      3918 ns/op	 382.81 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  287049	      4583 ns/op	 327.28 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  305859	      3719 ns/op	 403.39 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  340414	      3601 ns/op	 416.56 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.4KB-8        	  348258	      3620 ns/op	 414.37 MB/s	    8480 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  143683	      8463 ns/op	 484.01 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  145038	      8465 ns/op	 483.88 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  142959	      8430 ns/op	 485.87 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  146872	      9135 ns/op	 448.40 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  140126	      8864 ns/op	 462.10 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  143568	      9407 ns/op	 435.40 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  124477	      9810 ns/op	 417.51 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  143953	      8679 ns/op	 471.97 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  140251	      9466 ns/op	 432.72 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/4KB-8          	  138433	      8803 ns/op	 465.31 MB/s	   21024 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   78258	     16371 ns/op	 500.41 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   73051	     16538 ns/op	 495.33 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   66169	     16630 ns/op	 492.60 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   73809	     16506 ns/op	 496.30 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   72057	     16514 ns/op	 496.07 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   73998	     16305 ns/op	 502.41 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   74601	     15962 ns/op	 513.22 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   76440	     16237 ns/op	 504.52 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   76554	     15756 ns/op	 519.94 MB/s	   41248 B/op	      12 allocs/op
BenchmarkCBCEncrypt/8KB-8          	   75903	     16165 ns/op	 506.77 MB/s	   41248 B/op	      12 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	153.235s
