goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/1KB-8          	 2293928	       494.5 ns/op	2070.61 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1907930	       583.4 ns/op	2056.79 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2029080	       580.8 ns/op	2066.25 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1991322	       590.1 ns/op	2033.42 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1915537	       586.2 ns/op	2047.20 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2049150	       605.4 ns/op	1982.09 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2025968	       635.2 ns/op	1889.20 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2000904	       588.4 ns/op	2039.47 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1973524	       773.7 ns/op	1550.92 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1427335	       746.5 ns/op	1607.57 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1998453	       584.9 ns/op	2051.50 MB/s	    2576 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1680825	       701.1 ns/op	2139.61 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1687824	       760.4 ns/op	1972.59 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1401994	       799.8 ns/op	1875.50 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1613106	       733.6 ns/op	2044.84 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1624969	       746.5 ns/op	2009.29 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1641855	       727.1 ns/op	2062.90 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1727202	       717.9 ns/op	2089.53 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1645432	       713.0 ns/op	2103.72 MB/s	    3344 B/op	       3 allocs/op
