goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   97512	     13115 ns/op	 624.61 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   92534	     13383 ns/op	 612.11 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   97465	     14031 ns/op	 583.86 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   78122	     13185 ns/op	 621.31 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   93882	     13362 ns/op	 613.07 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   98431	     12453 ns/op	 657.85 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   98002	     13609 ns/op	 601.94 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   97017	     12232 ns/op	 669.74 MB/s	   28448 B/op	       5 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	163.113s
