goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/1.1KB-8        	  551428	      2297 ns/op	 522.47 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  574234	      2210 ns/op	 543.01 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  508825	      2155 ns/op	 556.76 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  586887	      2153 ns/op	 557.29 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  599293	      2142 ns/op	 560.19 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  594844	      2099 ns/op	 571.83 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  595814	      2102 ns/op	 571.01 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  463599	      2566 ns/op	 584.47 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  474146	      2713 ns/op	 552.92 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  478652	      2584 ns/op	 580.44 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  440619	      2684 ns/op	 558.83 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  444874	      2560 ns/op	 585.93 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  471910	      2854 ns/op	 525.59 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  421232	      2979 ns/op	 503.59 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  443328	      2699 ns/op	 555.68 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  462254	      2685 ns/op	 558.56 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  462752	      2544 ns/op	 589.52 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  189411	      6452 ns/op	 634.83 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  175191	      6474 ns/op	 632.65 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  185304	      6421 ns/op	 637.89 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  183782	      6409 ns/op	 639.10 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  187714	      6408 ns/op	 639.17 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  173449	      6452 ns/op	 634.89 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  183480	      6437 ns/op	 636.32 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  186920	      6472 ns/op	 632.92 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  176503	      6509 ns/op	 629.27 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  188904	      6430 ns/op	 637.01 MB/s	   10304 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   96243	     12406 ns/op	 660.35 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   92025	     12483 ns/op	 656.24 MB/s	   19520 B/op	       7 allocs/op
